State,Number to Generate,Type,Value
nm,1000,Street Address,37 COUNTY ROAD B47A LAS VEGAS 
nm,1000,Street Address,780.0 #6 S WALNUT ST LAS CRUCES 
nm,1000,Street Address,1500 APPALOOSA DR SUNLAND PARK 
nm,1000,Street Address,201 SEGOVIA LN MESQUITE 
nm,1000,Street Address,2600 CERRILLOS RD SANTA FE 
nm,1000,Street Address,212 LAS MANANITAS SANTA FE 
nm,1000,Street Address,203 N MAPLE ST TRUTH OR CONSEQUENCES 
nm,1000,Street Address,406 S SIXTH ST JAL 
nm,1000,Street Address,1981 LONE TREE LN LAS CRUCES 
nm,1000,Street Address,2882.0 #208 N ROADRUNNER PKWY LAS CRUCES 
nm,1000,Street Address,11225 BAJA DR NE ALBUQUERQUE 
nm,1000,Street Address,999.0 #BLDG 13 S TELSHOR BLVD LAS CRUCES 
nm,1000,Street Address,570 SE STAGECOACH RD SE RIO RANCHO 
nm,1000,Street Address,740 N 3RD ST RATON 
nm,1000,Street Address,5501 ALICE AVE NE ALBUQUERQUE 
nm,1000,Street Address,8 SUNRUNNER AVE ORGAN 
nm,1000,Street Address,961 CALLE SAN LORENZO BERNALILLO 
nm,1000,Street Address,16.0 None DREAMCATCHER TRL PLACITAS 
nm,1000,Street Address,32 TRES CERRITOS ABIQUIU 
nm,1000,Street Address,7712 BASSWOOD DR NW ALBUQUERQUE 
nm,1000,Street Address,1115 GREENS GAP RD DATIL 
nm,1000,Street Address,6405 PRAIRIE SAGE DR NW ALBUQUERQUE 
nm,1000,Street Address,214 THIRD ST RUIDOSO 
nm,1000,Street Address,402 CHACOMA PL SW ALBUQUERQUE 
nm,1000,Street Address,416 E 16TH ST PORTALES 
nm,1000,Street Address,1.0 <Null> ROAD 47251 BLOOMFIELD 
nm,1000,Street Address,2 SAN FERNANDO PERALTA 
nm,1000,Street Address,917.0 (17) PARK ST ESPANOLA 
nm,1000,Street Address,2600 CAMINO ENTRADA SANTA FE 
nm,1000,Street Address,16 COMMERCIAL AVE CAPULIN 
nm,1000,Street Address,21.0 A CACTUS FLOWER RD RANCHOS DE TAOS 
nm,1000,Street Address,3916 NE MADRID RD NE RIO RANCHO 
nm,1000,Street Address,221 APPALOOSA RD MORIARTY 
nm,1000,Street Address,1392.0 A BASELINE RD PORTALES 
nm,1000,Street Address,4322 4TH ST NW ALBUQUERQUE 
nm,1000,Street Address,5312 MOUNTAIN RD NE ALBUQUERQUE 
nm,1000,Street Address,6303 TOKAY ST NE ALBUQUERQUE 
nm,1000,Street Address,313 N EASTERN AVE HOBBS 
nm,1000,Street Address,29.0 C UMBRELLA CANYON ROAD RD GALLUP 
nm,1000,Street Address,7184 NE KODIAK RD NE RIO RANCHO 
nm,1000,Street Address,2033.0 7 CALLE LORCA SANTA FE 
nm,1000,Street Address,6608 PONDEROSA AVE NE ALBUQUERQUE 
nm,1000,Street Address,408 GIRARD BLVD SE ALBUQUERQUE 
nm,1000,Street Address,2104 SOLANA RD CARLSBAD 
nm,1000,Street Address,9999 NE OASIS RD NE RIO RANCHO 
nm,1000,Street Address,1008 NE MARLOW MEADOWS DR NE RIO RANCHO 
nm,1000,Street Address,304 W 18TH ST PORTALES 
nm,1000,Street Address,2806.0 3 E 22ND ST FARMINGTON 
nm,1000,Street Address,807 14TH ST SW RIO RANCHO 
nm,1000,Street Address,2917 NE REDONDO SANTA FE LOOP NE RIO RANCHO 
nm,1000,Street Address,1204 PAMPAS PL SE ALBUQUERQUE 
nm,1000,Street Address,13535 ELENA GALLEGOS PL NE ALBUQUERQUE 
nm,1000,Street Address,59 EAGLE ROOST ROAD RD GALLUP 
nm,1000,Street Address,5432 SOMBRA AZUL ST LAS CRUCES 
nm,1000,Street Address,524 N BROWNHORN ST MELROSE 
nm,1000,Street Address,7223 GALLINAS AVE NE ALBUQUERQUE 
nm,1000,Street Address,200.0 34 FRIEDENBLOOM RUIDOSO 
nm,1000,Street Address,7101 MINUTEMAN DR NE ALBUQUERQUE 
nm,1000,Street Address,3840 MADISON RD SANTA FE 
nm,1000,Street Address,880.0 B E PALACE AVE SANTA FE 
nm,1000,Street Address,512 WIGGINS LN BERNALILLO 
nm,1000,Street Address,1342 VISTA ESCONDIDA LOS LUNAS 
nm,1000,Street Address,35 SUMAC LN LOS ALAMOS 
nm,1000,Street Address,721 TULANE DR NE ALBUQUERQUE 
nm,1000,Street Address,11000 W NM HIGHWAY 322 MONUMENT 
nm,1000,Street Address,917 N MAIN ST TATUM 
nm,1000,Street Address,312 SHANGRI LA CT NW ALBUQUERQUE 
nm,1000,Street Address,1530.0 #3 WYOMING AVE LAS CRUCES 
nm,1000,Street Address,3240 SPENCER DR FARMINGTON 
nm,1000,Street Address,6404.0 None TAHAWASH COCHITI LAKE 
nm,1000,Street Address,4350 PRAIRIE HILL PL NW ALBUQUERQUE 
nm,1000,Street Address,706 N DENSON ST HOBBS 
nm,1000,Street Address,710.0 #2 KOOGLE RD LA UNION 
nm,1000,Street Address,3412 CUERVO DR NE ALBUQUERQUE 
nm,1000,Street Address,11104 EAST RIM DR NW ALBUQUERQUE 
nm,1000,Street Address,112.0 C PUEBLO PINTADO ROAD RD PUEBLO PINTADO 
nm,1000,Street Address,1110 ADAMS ST ANTHONY 
nm,1000,Street Address,26250 US HIGHWAY 70 RUIDOSO 
nm,1000,Street Address,1200.0 42 CAMINO CONSUELO SANTA FE 
nm,1000,Street Address,3511 BLOOMFIELD HWY FARMINGTON 
nm,1000,Street Address,1417 ALUMINUM ST TRUTH OR CONSEQUENCES 
nm,1000,Street Address,1002 GLENDALE DR LAS CRUCES 
nm,1000,Street Address,106 HOPE CT SUNLAND PARK 
nm,1000,Street Address,43 LOS CHAVEZ PARK BELEN 
nm,1000,Street Address,9415 TALARA PL NW ALBUQUERQUE 
nm,1000,Street Address,4909 NE ALBERTA AVE NE RIO RANCHO 
nm,1000,Street Address,5900 NE RIDGELINE PL NE RIO RANCHO 
nm,1000,Street Address,901 PALO ALTO CT BERNALILLO 
nm,1000,Street Address,27.0 <Null> ROAD 3333 AZTEC 
nm,1000,Street Address,1513 CARLISLE BLVD NE ALBUQUERQUE 
nm,1000,Street Address,4109 NE AURELIAN RD NE RIO RANCHO 
nm,1000,Street Address,10532 BROOKLINE PL NW ALBUQUERQUE 
nm,1000,Street Address,4641 SPRING VALLEY CIR SW ALBUQUERQUE 
nm,1000,Street Address,1201 S TENNYSON DR DEMING 
nm,1000,Street Address,6756 ACE LN DEXTER 
nm,1000,Street Address,21559 US HIGHWAY 84 EL RITO 
nm,1000,Street Address,2 ABEYTA RD TAOS 
nm,1000,Street Address,1016 N AXTELL ST CLOVIS 
nm,1000,Street Address,5207 CAMINO SANDIA NE ALBUQUERQUE 
nm,1000,Street Address,101 PINECREST DR RUIDOSO 
nm,1000,Street Address,22 WILMOT SILVER CITY 
nm,1000,Street Address,309 LA ESPINA PL NE ALBUQUERQUE 
nm,1000,Street Address,40 VALERIO RD RANCHOS DE TAOS 
nm,1000,Street Address,2.0 <Null> ROAD 3320 AZTEC 
nm,1000,Street Address,4841 AGATE ST LAS CRUCES 
nm,1000,Street Address,1631 SE VISTA DE COLINAS DR SE RIO RANCHO 
nm,1000,Street Address,1241 MONTE VERDE DR NE ALBUQUERQUE 
nm,1000,Street Address,239 LAUGHING HORSE TRL CAPITAN 
nm,1000,Street Address,3 TEETER CT EDGEWOOD 
nm,1000,Street Address,105 E 1ST AVE TRUTH OR CONSEQUENCES 
nm,1000,Street Address,157 S ROSARIO ST LA MESA 
nm,1000,Street Address,104 WATER CANYON RD CUBERO 
nm,1000,Street Address,209 CASAS BELLA CT SANTA TERESA 
nm,1000,Street Address,1804 JONQUIL PARK DR CLOVIS 
nm,1000,Street Address,109 S BURK ST HOBBS 
nm,1000,Street Address,2367 NE ELIZABETH ANN RD NE RIO RANCHO 
nm,1000,Street Address,19 STATE HIGHWAY 122 GALLUP 
nm,1000,Street Address,2 SUNSET MESA RD TAOS 
nm,1000,Street Address,7005 MENAUL BLVD NE ALBUQUERQUE 
nm,1000,Street Address,9999 NE KOALIN RD NE RIO RANCHO 
nm,1000,Street Address,1005 ANGEL RD CORRALES 
nm,1000,Street Address,3314 LINDA VISTA AVE SE ALBUQUERQUE 
nm,1000,Street Address,3402 CHURCHROCK ST GALLUP 
nm,1000,Street Address,104 E PLAZA DR CLOVIS 
nm,1000,Street Address,0 MAIN BELEN 
nm,1000,Street Address,1208 N BUTLER AVE FARMINGTON 
nm,1000,Street Address,555 ESTE ES RD RANCHOS DE TAOS 
nm,1000,Street Address,1322 DAYBREAK CLOVIS 
nm,1000,Street Address,11200 WOODMAR LN NE ALBUQUERQUE 
nm,1000,Street Address,3929 NE DESERT PINON DR NE RIO RANCHO 
nm,1000,Street Address,11118 JEWEL CAVE RD SE ALBUQUERQUE 
nm,1000,Street Address,2025 JEMEZ RD LOS ALAMOS 
nm,1000,Street Address,6603 S MAIN ST SOUTH VALLEY 
nm,1000,Street Address,241 WYOMING BLVD SE ALBUQUERQUE 
nm,1000,Street Address,312 COMMUNITY SCHOOL RD OHKAY OHWINGEH 
nm,1000,Street Address,510.0 32 RUINS RD AZTEC 
nm,1000,Street Address,1105 NE COYOTE BUSH RD NE RIO RANCHO 
nm,1000,Street Address,485 KOGER RD AMISTAD 
nm,1000,Street Address,17 PASEO LUNA BLANCA SANTA FE 
nm,1000,Street Address,1166 GATEWOOD AVE SW ALBUQUERQUE 
nm,1000,Street Address,2801.0 #14 W PICACHO AVE LAS CRUCES 
nm,1000,Street Address,100 BOBSLED PL RUIDOSO 
nm,1000,Street Address,4938 SOUTH FORK RD LAS CRUCES 
nm,1000,Street Address,820 N SHELDON ST CLOVIS 
nm,1000,Street Address,213 SUNNY SLOPE DR RUIDOSO 
nm,1000,Street Address,1022 CERRO VISTA RD SW ALBUQUERQUE 
nm,1000,Street Address,48.0 <Null> ROAD 7101 FARMINGTON (NO DELIVERY) 
nm,1000,Street Address,6592 JEFFRIES ST ORGAN 
nm,1000,Street Address,188 RAVEN RD TIJERAS 
nm,1000,Street Address,1104 TEXAS AVE SOCORRO 
nm,1000,Street Address,1310 IGLESIA RD SW RIO RANCHO 
nm,1000,Street Address,422 ALAMO DR SANTA FE 
nm,1000,Street Address,11516 RIVIERA RD NE ALBUQUERQUE 
nm,1000,Street Address,81 MCCAULEY RD BUCKHORN 
nm,1000,Street Address,104 LINCOLN ST SANTA CLARA 
nm,1000,Street Address,1119 N THORNTON ST CLOVIS 
nm,1000,Street Address,1066.0 1066 E NAVAJO ST FARMINGTON 
nm,1000,Street Address,734.0 C STATE HIGWAY 602 GALLUP 
nm,1000,Street Address,3213 DYER ST LAS CRUCES 
nm,1000,Street Address,2720 TOPLEY AVE LAS CRUCES 
nm,1000,Street Address,12031 BUFFALO ESTATES RD RADIUM SPRINGS 
nm,1000,Street Address,704 CALLE ARCHULETA ESPANOLA 
nm,1000,Street Address,60.0 <Null> ROAD 7755 FARMINGTON (NO DELIVERY) 
nm,1000,Street Address,217 MAYORES CT BERNALILLO 
nm,1000,Street Address,6108 PARK SOUTH PL NW ALBUQUERQUE 
nm,1000,Street Address,7239 NE WASILLA DR NE RIO RANCHO 
nm,1000,Street Address,17698 US 84-285 SANTA FE 
nm,1000,Street Address,1305 SANCHEZ LN BLOOMFIELD 
nm,1000,Street Address,33772.0 C US HIGHWAY 285 EMBUDO 
nm,1000,Street Address,166.0 <Null> ROAD 7300 BLOOMFIELD 
nm,1000,Street Address,7004 NE NACELLE RD NE RIO RANCHO 
nm,1000,Street Address,5150.0 103 COLLEGE BLVD FARMINGTON 
nm,1000,Street Address,1703 VISTA DE CORRAL EMBUDO 
nm,1000,Street Address,43 GALLEGOS RD QUESTA 
nm,1000,Street Address,6329 LESLIE PL NE ALBUQUERQUE 
nm,1000,Street Address,815 CHURCH ST ANTHONY 
nm,1000,Street Address,41.0 B E PINE SANTA FE 
nm,1000,Street Address,501.0 #1903 N ROADRUNNER PKWY LAS CRUCES 
nm,1000,Street Address,1110 E MICHIGAN DR HOBBS 
nm,1000,Street Address,316 NE 6TH ST NE RIO RANCHO 
nm,1000,Street Address,54 MANTHEI RD ARTESIA 
nm,1000,Street Address,1309 RIDGECREST LOOP SE ALBUQUERQUE 
nm,1000,Street Address,3705 MILLER CIR NW ALBUQUERQUE 
nm,1000,Street Address,10 CORINTHIANS LOS LUNAS 
nm,1000,Street Address,3409 INMAN CT NE ALBUQUERQUE 
nm,1000,Street Address,0 E ABER ST TUCUMCARI 
nm,1000,Street Address,1016 CHESTNUT ST GRANTS 
nm,1000,Street Address,806 E BARNES AVE TUCUMCARI 
nm,1000,Street Address,10601 CIELITO LINDO NE ALBUQUERQUE 
nm,1000,Street Address,996.0 <Null> NM 170 LA PLATA 
nm,1000,Street Address,2551 B B ROMIG DR GARFIELD 
nm,1000,Street Address,132 W POLK AVE LOVINGTON 
nm,1000,Street Address,1230 MECHENBIER LN SW ALBUQUERQUE 
nm,1000,Street Address,6486 PASEO DEL SOL SANTA FE 
nm,1000,Street Address,802 N EDDY ST LOVINGTON 
nm,1000,Street Address,4248 NE 41ST ST NE RIO RANCHO 
nm,1000,Street Address,5 BUFFALO DRAW SANTA FE 
nm,1000,Street Address,45.0 A RAM SPRINGS ROAD RD GALLUP 
nm,1000,Street Address,630.0 9 ZUNI ST TAOS 
nm,1000,Street Address,5322 CAMINO DEL GRIEGO SANTA FE 
nm,1000,Street Address,1142 CALLE SAN YSIDRO BERNALILLO 
nm,1000,Street Address,1460 SE 32ND CIR SE RIO RANCHO 
nm,1000,Street Address,21.0 None SANDIA PLACITAS 
nm,1000,Street Address,2958 TESUQUE OVERLOOK SANTA FE - NAMBE 
nm,1000,Street Address,6807 VIA CAMPESTRE FAIRACRES 
nm,1000,Street Address,4407 LINDA CIR CARLSBAD 
nm,1000,Street Address,402 SANDIA CT AZTEC 
nm,1000,Street Address,4095 NM HIGHWAY 605 GRANTS 
nm,1000,Street Address,600 LOMA LINDA PL SE ALBUQUERQUE 
nm,1000,Street Address,526 PAUL PL LOS ALAMOS 
nm,1000,Street Address,601 W UNIVERSITY DR PORTALES 
nm,1000,Street Address,306 CALLE ESTADO SANTA FE 
nm,1000,Street Address,7300 DESERT MORNING RD SW ALBUQUERQUE 
nm,1000,Street Address,7.0 <Null> ROAD 3187 AZTEC 
nm,1000,Street Address,36 CEDAR ST ZUNI 
nm,1000,Street Address,920 LOPEZ ST SANTA FE 
nm,1000,Street Address,4951 PALO ALTO AVE SE ALBUQUERQUE 
nm,1000,Street Address,905 BRAZOS PL SE ALBUQUERQUE 
nm,1000,Street Address,5669 HIGHWAY 60 PIE TOWN 
nm,1000,Street Address,320.0 84 ARTIST RD SANTA FE 
nm,1000,Street Address,1148 NM HIGHWAY 304 VEGUITA 
nm,1000,Street Address,1400 SE MARGIE RD SE RIO RANCHO 
nm,1000,Street Address,601 SUMMIT ST CORONA 
nm,1000,Street Address,2429 SIERRA MESA TRL SW ALBUQUERQUE 
nm,1000,Street Address,1509 HIDALGO RD CARLSBAD 
nm,1000,Street Address,2504 PLAY THRU DR DEMING 
nm,1000,Street Address,1701 WINTER CT FARMINGTON 
nm,1000,Street Address,8119 PONY HILLS PL NW ALBUQUERQUE 
nm,1000,Street Address,616 VASSAR DR NE ALBUQUERQUE 
nm,1000,Street Address,4.0 C PLAZA DEL CERRO CHIMAYO 
nm,1000,Street Address,8861 TRIGG LP LAS CRUCES 
nm,1000,Street Address,8016 PROPHET CIR ORGAN 
nm,1000,Street Address,491 COUNTY RD 84 SANTA FE 
nm,1000,Street Address,925 E BUTTE ST HOBBS 
nm,1000,Street Address,801 MARIE PARK ST NE ALBUQUERQUE 
nm,1000,Street Address,1002 ALAMO ST LAS CRUCES 
nm,1000,Street Address,45 DESERT WILLOW SANTA FE 
nm,1000,Street Address,13204 MORNING MIST AVE NE ALBUQUERQUE 
nm,1000,Street Address,1921 SUNSET GARDENS RD SW ALBUQUERQUE 
nm,1000,Street Address,15 PINKNEY RD ARREY 
nm,1000,Street Address,302 LA BELLE AVE FARMINGTON 
nm,1000,Street Address,5301 THOMAS DR NE ALBUQUERQUE 
nm,1000,Street Address,10.0 <Null> ROAD 7107 FARMINGTON (NO DELIVERY) 
nm,1000,Street Address,5125 ROCK HOUSE RD LAS ALTURAS 
nm,1000,Street Address,1211 IRVIN ST CARLSBAD 
nm,1000,Street Address,850 EL CAMINITO SANTA FE 
nm,1000,Street Address,4219 VEGAS DE SUENOS SANTA FE 
nm,1000,Street Address,1855.0 #7 8TH ST LAS VEGAS 
nm,1000,Street Address,26 HOLIDAY DR TIJERAS 
nm,1000,Street Address,221 FIRST ST N ENCINO 
nm,1000,Street Address,2307 VISTA LARGA DR NE ALBUQUERQUE 
nm,1000,Street Address,515 N WALL AVE FARMINGTON 
nm,1000,Street Address,1309 NE BEDIVERE ST NE RIO RANCHO 
nm,1000,Street Address,14.0 None SPRUCE PLACITAS 
nm,1000,Street Address,15 SUNNYSIDE DR CUBERO 
nm,1000,Street Address,5816 PONDEROSA AVE NE ALBUQUERQUE 
nm,1000,Street Address,640 LONESOME DOVE TRL SW ALBUQUERQUE 
nm,1000,Street Address,29 CABANA DR TIJERAS 
nm,1000,Street Address,1416 SAN CLEMENTE AVE NW ALBUQUERQUE 
nm,1000,Street Address,1005 N CLIFF DR GALLUP 
nm,1000,Street Address,911 S BULLOCK CT ARTESIA 
nm,1000,Street Address,10709 STONEBROOK PL NW ALBUQUERQUE 
nm,1000,Street Address,312 STATE ROAD 531 TIERRA AMARILLA 
nm,1000,Street Address,219 ROSE DR BERNALILLO 
nm,1000,Street Address,418 E YUCCA DR HOBBS 
nm,1000,Street Address,8823 GREENARBOR RD NE ALBUQUERQUE 
nm,1000,Street Address,1056 QUINCY ST SE ALBUQUERQUE 
nm,1000,Street Address,31 MESA TOP FARM LOOP SANTA FE 
nm,1000,Street Address,712 SPERRY DR LAS VEGAS 
nm,1000,Street Address,95 ANGELES VISTA CIR SANDIA PARK 
nm,1000,Street Address,2308 SE 14TH ST SE RIO RANCHO 
nm,1000,Street Address,1809 CHACO AVE FARMINGTON 
nm,1000,Street Address,319 COUNTY ROAD A3 SAPELLO 
nm,1000,Street Address,2613 HAGLAND PL NE ALBUQUERQUE 
nm,1000,Street Address,1037 NE LETHBRIDGE LOOP NE RIO RANCHO 
nm,1000,Street Address,66 OLD SANTA FE RD RANCHOS DE TAOS 
nm,1000,Street Address,39 ROAD 11 EAGLE NEST 
nm,1000,Street Address,7 MICHAEL AVENUE AVE BLUEWATER 
nm,1000,Street Address,18 BUGGY RIDE RD CABALLO 
nm,1000,Street Address,2937 CESAR CHAVEZ DR CLOVIS 
nm,1000,Street Address,5134 DEL REY BLVD DONA ANA 
nm,1000,Street Address,170 NM HIGHWAY 266 SAPELLO 
nm,1000,Street Address,6.0 <Null> ROAD 5413 BLOOMFIELD 
nm,1000,Street Address,15 JIMMY AVE RESERVE 
nm,1000,Street Address,13213 EXECUTIVE RIDGE DR NE ALBUQUERQUE 
nm,1000,Street Address,6 MULLINS CT LAS VEGAS 
nm,1000,Street Address,120 N ASH ST TRUTH OR CONSEQUENCES 
nm,1000,Street Address,2916 SHERIDAN ST CLOVIS 
nm,1000,Street Address,783.0 C STATE HWY 196 COSTILLA 
nm,1000,Street Address,1920 YARBROUGH PL NW ALBUQUERQUE 
nm,1000,Street Address,840.0 None LAS POLOMAS JEMEZ SPRINGS 
nm,1000,Street Address,510 E HIGH ST TUCUMCARI 
nm,1000,Street Address,122 AZTEC AVE LOS ALAMOS 
nm,1000,Street Address,3624 TRES PIEDRAS WAY LAS CRUCES 
nm,1000,Street Address,2826 BROADWAY BLVD SE ALBUQUERQUE 
nm,1000,Street Address,6620 ESTHER AVE NE ALBUQUERQUE 
nm,1000,Street Address,96 COUNTY ROAD B41F RIBERA 
nm,1000,Street Address,11019 ROAN AVE SW ALBUQUERQUE 
nm,1000,Street Address,1109.0 #2 MCFIE AVE LAS CRUCES 
nm,1000,Street Address,66.0 B OJO CALIENTE RD ZUNI 
nm,1000,Street Address,1801 CENTRAL AVE LOS ALAMOS 
nm,1000,Street Address,60.0 227 E SAN FRANCISCO ST SANTA FE 
nm,1000,Street Address,520 CAMINO RANCHEROS SANTA FE 
nm,1000,Street Address,3691 CALCITE ST LAS CRUCES 
nm,1000,Street Address,13204 BIGHORN RD NE ALBUQUERQUE 
nm,1000,Street Address,34 AXTON CT TIJERAS 
nm,1000,Street Address,113 GARRETT DR CLOVIS 
nm,1000,Street Address,20 CAMINO DE CABALLO RANCHOS DE TAOS 
nm,1000,Street Address,507 LEAD AVE SW ALBUQUERQUE 
nm,1000,Street Address,804 MONROE ST ANTHONY 
nm,1000,Street Address,140 DORMILON RD DONA ANA 
nm,1000,Street Address,7500 SAN PEDRO DR NE ALBUQUERQUE 
nm,1000,Street Address,17.0 P-301 ZUNI MIDDLE SCHOOL DR ZUNI 
nm,1000,Street Address,436 CALLE CANUTO ESPANOLA 
nm,1000,Street Address,4109 SKYLINE DR FARMINGTON 
nm,1000,Street Address,6105 BARNHART ST NE ALBUQUERQUE 
nm,1000,Street Address,584.0 B STATE HIGHWAY 602 GALLUP 
nm,1000,Street Address,664 S TORNILLO ST LAS CRUCES 
nm,1000,Street Address,217 W AFTON RD CHAMBERINO 
nm,1000,Street Address,2701 CHRISTINE ST NE ALBUQUERQUE 
nm,1000,Street Address,8918 CLAREMONT AVE NE ALBUQUERQUE 
nm,1000,Street Address,142 ICEPLANT RD W MCINTOSH 
nm,1000,Street Address,3393 STATE ROAD 96 GALLINA 
nm,1000,Street Address,7002 PORLAMAR CT NW ALBUQUERQUE 
nm,1000,Street Address,1705 CURRY ROAD 17 TEXICO 
nm,1000,Street Address,822 W HARRISON AVE LOVINGTON 
nm,1000,Street Address,1912 N GRIMES ST HOBBS 
nm,1000,Street Address,2959 LONG BOW LP LAS CRUCES 
nm,1000,Street Address,1516 KIOWA TRL CLOVIS 
nm,1000,Street Address,6.0 A CAMINO LA LLORONA SANTA FE 
nm,1000,Street Address,6630 RIO DORADO DR SOUTH VALLEY 
nm,1000,Street Address,15 ANTIGUA RD SANTA FE 
nm,1000,Street Address,118 CAMINO ENCANTADO CITY OF ELEPHANT BUTTE 
nm,1000,Street Address,451 TIERRA DORADA CIR ANTHONY 
nm,1000,Street Address,1400.0 #D1 S TELSHOR BLVD LAS CRUCES 
nm,1000,Street Address,1015 BIRCH LN CARLSBAD 
nm,1000,Street Address,1519 CAMINO SIERRA VISTA SANTA FE 
nm,1000,Street Address,3 CALLE LILA SANTA FE 
nm,1000,Street Address,5418 LUTTRELL CT NE ALBUQUERQUE 
nm,1000,Street Address,509 N THIRD ST JAL 
nm,1000,Street Address,121 GARDEN CIR SOCORRO 
nm,1000,Street Address,1007 MONTE VERDE SANTA FE 
nm,1000,Street Address,4111 NE NIESE CT NE RIO RANCHO 
nm,1000,Street Address,4418 12TH AVE SW RIO RANCHO 
nm,1000,Street Address,6103 SUMMERWOOD RD NW ALBUQUERQUE 
nm,1000,Street Address,1212 EDITH BLVD NE ALBUQUERQUE 
nm,1000,Street Address,501 COUNTY ROAD A005 ROCIADA 
nm,1000,Street Address,363 ICE CAVES RD CUBERO 
nm,1000,Street Address,2503 AGUA FRIA ST SANTA FE 
nm,1000,Street Address,66 POLOMA DR ABIQUIU 
nm,1000,Street Address,1124 FLORIDA ST SE ALBUQUERQUE 
nm,1000,Street Address,6.0 B CALLE ARBUSTO SANTA FE 
nm,1000,Street Address,8205 COLFAX AVE NE ALBUQUERQUE 
nm,1000,Street Address,310 S 7TH ST RATON 
nm,1000,Street Address,4839 PETRA POINTE CIR NW ALBUQUERQUE 
nm,1000,Street Address,3532 EASTERN AVE SE ALBUQUERQUE 
nm,1000,Street Address,3521 S MAIN ST LOVINGTON 
nm,1000,Street Address,2013 NANCY ST SW ALBUQUERQUE 
nm,1000,Street Address,0 NEW ST SANTA CLARA 
nm,1000,Street Address,115.0 1/2 #7 FAULKNER ST SOCORRO 
nm,1000,Street Address,1410.0 #8 S ESPINA ST LAS CRUCES 
nm,1000,Street Address,28 OSHA LOS LUNES 
nm,1000,Street Address,1401 ANNA LN FARMINGTON 
nm,1000,Street Address,1309 NE CECA PL NE RIO RANCHO 
nm,1000,Street Address,1519 CORRIZ DR SW ALBUQUERQUE 
nm,1000,Street Address,1217 AGUA FRIA ST SANTA FE 
nm,1000,Street Address,0 MONTEZUMA AVE LAS VEGAS 
nm,1000,Street Address,828 NE BROADMOOR BLVD NE RIO RANCHO 
nm,1000,Street Address,1425 HIGH MESA RD ALTO 
nm,1000,Street Address,27 SUNRUNNER RD CABALLO 
nm,1000,Street Address,5405 QUEMAZON LOS ALAMOS 
nm,1000,Street Address,3343 CAMINITO QUINTANA SANTA FE 
nm,1000,Street Address,4632 EDWIN MECHEM AVE NW ALBUQUERQUE 
nm,1000,Street Address,40 E LUPTON LN DEXTER 
nm,1000,Street Address,1851.0 #C-604 N MESQUITE ST LAS CRUCES 
nm,1000,Street Address,362.0 B S MCCURDY RD ESPANOLA 
nm,1000,Street Address,1019 SIMPSON RD TATUM 
nm,1000,Street Address,1260 EL CAMINO REAL SOCORRO 
nm,1000,Street Address,1106 4TH AVE NW RIO RANCHO 
nm,1000,Street Address,11001 PROSPECT AVE NE ALBUQUERQUE 
nm,1000,Street Address,5308 CHESAPEAKE RD NW ALBUQUERQUE 
nm,1000,Street Address,704 VASSAR DR NE ALBUQUERQUE 
nm,1000,Street Address,31.0 <Null> ROAD 1115 LA PLATA 
nm,1000,Street Address,10 COLLIN DR SAN JOSE 
nm,1000,Street Address,809 W 16TH ST PORTALES 
nm,1000,Street Address,3812 PINON JAY CT NW ALBUQUERQUE 
nm,1000,Street Address,17 VERMEJO CIMARRON 
nm,1000,Street Address,1331 CORRIZ DR SW ALBUQUERQUE 
nm,1000,Street Address,5224 RIDGE ROCK AVE NW ALBUQUERQUE 
nm,1000,Street Address,1317 15TH ST EUNICE 
nm,1000,Street Address,4543 MAGIC SKY CT NW ALBUQUERQUE 
nm,1000,Street Address,621 W BROOM DR HOBBS 
nm,1000,Street Address,5048 NE WESTFIELD DR NE RIO RANCHO 
nm,1000,Street Address,201.0 40 MARIPOSA LN TAOS 
nm,1000,Street Address,1410.0 #10 CHAPARRO ST LAS CRUCES 
nm,1000,Street Address,3914 MANCHESTER ST FARMINGTON 
nm,1000,Street Address,5951 SAN MARCOS DR FARMINGTON 
nm,1000,Street Address,194 W HILL RANCH RD EDGEWOOD 
nm,1000,Street Address,236 VERMEJO ST RATON 
nm,1000,Street Address,1517 CAMINO SIERRA VISTA SANTA FE 
nm,1000,Street Address,3026 PLAZA BLANCA SANTA FE 
nm,1000,Street Address,321 WELLESLEY DR SE ALBUQUERQUE 
nm,1000,Street Address,2105 DAKOTA RD SW RIO RANCHO 
nm,1000,Street Address,3113 CAROLINA ST NE ALBUQUERQUE 
nm,1000,Street Address,2220 WILDERNESS MEADOW SANTA FE 
nm,1000,Street Address,1201 AERO LN CHAMBERINO 
nm,1000,Street Address,100.0 #25 IDAHO AVE LAS CRUCES 
nm,1000,Street Address,7266 NE PAJARITO RD NE RIO RANCHO 
nm,1000,Street Address,600 E RIVERSIDE DR TRUTH OR CONSEQUENCES 
nm,1000,Street Address,8416 CASA AMARILLA RD NW ALBUQUERQUE 
nm,1000,Street Address,304 SHANNON PL NW ALBUQUERQUE 
nm,1000,Street Address,1302 WALTER ST SE ALBUQUERQUE 
nm,1000,Street Address,753 CITY VIEW DR LAS CRUCES 
nm,1000,Street Address,8809 YANKEE DR NE ALBUQUERQUE 
nm,1000,Street Address,2 SHERIFF RD LA PUEBLA 
nm,1000,Street Address,1001 E MARLAND ST HOBBS 
nm,1000,Street Address,35 ORCHARD CIR CIMARRON 
